Name,Handle,Timestamp,Content,Comments,Retweets,Likes,Analytics,Tweet Link
Faiza iqbal,@faizaiqbal520,2024-02-05T04:11:37.000Z,وعلیکم السلام ورحمتہ اللہ وبرکاتہ ، اللہ تعالیٰ اپ پر اپنا فضل کرے۔ امین یا رب العالمین ۔Comment on my post too please,0,0,0,0,https://twitter.com/faizaiqbal520/status/1754357080796934398
پنجابی کڑی,@RH_PTI,2024-02-05T04:11:36.000Z,"وعلیکم السلام ورحمتہ اللہ وبرکاتہ
صبح بخیر",0,0,0,0,https://twitter.com/RH_PTI/status/1754357077571469363
کـــͥـــͫـــͣـــᷜـــــــا مــــــــــــی,@imrankhanlvrPTI,2024-02-05T04:11:36.000Z,بے شک میرا رب بہترین تدبیر کرنے والا,0,0,0,0,https://twitter.com/imrankhanlvrPTI/status/1754357077420487055
Syed Mukhtaj pti,@MukhtajSaid,2024-02-05T04:11:36.000Z,وعلیکم السلام,0,0,0,0,https://twitter.com/MukhtajSaid/status/1754357076791271587
007 | Dilshad,@Dilshad__Pti,2024-02-05T04:11:35.000Z,"""My belief is La Ilaha illallah, nd We will fight."" 
ہمارا کپتان اپنے سے سات گناہ بڑے ملک سے نہیں ڈرا تو ہم ان چوروں سے کیوں ڈریں، ہم تمام تر مظالم کا بدلا 8فروری کو اپنے ووٹ سے لیں گے۔ #ظلم_کا_بدلہ_ووٹ_سے #KashmirDay#عمران_خان_پر_ظلم_نامنظور ",0,0,0,0,https://twitter.com/Dilshad__Pti/status/1754357076132798771
Amin Chaudhry,@AminChaudhry12,2024-02-05T04:11:32.000Z,#PTI_Followers.       #F4FB.                ,0,0,0,0,https://twitter.com/AminChaudhry12/status/1754357061796700171
Osm004,@Osm004,2024-02-05T04:11:28.000Z,شکریہ,0,0,0,0,https://twitter.com/Osm004/status/1754357045199765976
Syed Mukhtaj pti,@MukhtajSaid,2024-02-05T04:11:26.000Z,وعلیکم السلام,0,0,0,0,https://twitter.com/MukhtajSaid/status/1754357035469070632
PTI,@naeemch60604068,2024-02-05T04:11:25.000Z,یہ کون سی فلم کا سین ھے,0,0,0,0,https://twitter.com/naeemch60604068/status/1754357032008692158
PTI MIANWALI,@niazi_tweet8,2024-02-05T04:11:25.000Z,"W Salam
Good Morning ",0,0,0,1,https://twitter.com/niazi_tweet8/status/1754357031908327779
