Name,Handle,Timestamp,Content,Comments,Retweets,Likes,Analytics,Tweet Link
A Rockstar Fantasy,@JTheFantasy,2024-01-23T23:28:54.000Z,This fake news lol,0,0,0,0,https://twitter.com/JTheFantasy/status/1749937280783904840
ocean queen rockstar,@lysolsocialist,2024-01-23T23:28:34.000Z,omg very exciting news i finally saw the results of my urine culture from when i was peeing blood and it WAS a weird bacteria!!! there was group B streptococcus in my bladder! freaky!,0,0,0,4,https://twitter.com/lysolsocialist/status/1749937195379740926
sasha∞⁸ | IN HER ROCKSTAR ERA,@hjthesweetmochi,2024-01-23T23:28:28.000Z,"Y'all say shit that caused his akgæs to come out and drag lia. Maybe next time, keep the thing that's supposed to be fun, fun.",0,0,0,1,https://twitter.com/hjthesweetmochi/status/1749937170188800173
sodah,@RockstarTracks,2024-01-23T23:28:23.000Z,thank you heavenknows we the ones pushing a non pretentious music twitter,0,0,0,1,https://twitter.com/RockstarTracks/status/1749937150303588767
DJWes a.k.a RockStar,@DJWes1981,2024-01-23T23:28:13.000Z,SUPREME シュプリーム ×The North Face 22AW Taped Seam Shell Jacket ジャケット マルチ Size 【XL】 【新古品・未使用品】 20760287 [楽天] https://hb.afl.rakuten.co.jp/ichiba/162af531.f49024e4.162af532.e3924079/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Ffoolsjudge%2F20760287%2F&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjI0MHgyNDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MCwiYm9yIjoxLCJjb2wiOjAsImJidG4iOjEsInByb2QiOjAsImFtcCI6ZmFsc2V9…,0,0,0,0,https://twitter.com/DJWes1981/status/1749937106082734373
Eloosive but feral arc,@YaBoyEloosive_,2024-01-23T23:27:55.000Z,Could care less what happens but notice how rockstar has yet to respond to any of these people threatening lawsuits. It's because these people would get shut down way before rockstar ever had to give a single cent or penny because if your image is online you don't own the rights,0,0,0,4,https://twitter.com/YaBoyEloosive_/status/1749937031801663672
sodah,@RockstarTracks,2024-01-23T23:27:34.000Z,ty!!!,0,0,1,2,https://twitter.com/RockstarTracks/status/1749936946024173952
spacegirl,@smileymarss,2024-01-23T23:27:33.000Z,stream rockstar by  for clear skin ,0,0,0,1,https://twitter.com/smileymarss/status/1749936939577364905
sodah,@RockstarTracks,2024-01-23T23:27:16.000Z,"bet, later today!",0,0,0,2,https://twitter.com/RockstarTracks/status/1749936870736478370
jzzz | 𝗕𝗢𝗕𝗕𝗬 𝒂𝒍𝒍 𝒓𝒐𝒖𝒏𝒅𝒆𝒓,@jzzzindaeyo,2024-01-23T23:26:52.000Z,Good morning RocKstaR #InTHEDaRk#BOBBY #바비 #バビ ,0,1,1,18,https://twitter.com/jzzzindaeyo/status/1749936767657206023
