Name,Handle,Timestamp,Content,Comments,Retweets,Likes,Analytics,Tweet Link
PTI,@PTIofficial,2024-01-22T18:51:27.000Z,"گزشتہ 8 ماہ سے پابند سلاسل عالیہ حمزہ کی آج عدالت پیشی پر تصویر 

عالیہ حمزہ امیدوار برائے قومی اسمبلی حلقہ 118۔۔۔8 فروری کو DICE  کو ووٹ دیں۔",297,6.7K,21K,247K,https://twitter.com/PTIofficial/status/1749505070020845878
The Economist,@TheEconomist,2024-01-22T16:37:27.000Z,"The former prime minister of Pakistan writes from prison that his party is being unfairly muzzled, in a guest essay for The Economist",3.8K,27K,50K,2.2M,https://twitter.com/TheEconomist/status/1749471345555939356
Elon Musk (Parody),@ElonMuskAOC,2024-01-23T18:03:11.000Z,Who wants to come to my BBQ?,734,246,2.5K,92K,https://twitter.com/ElonMuskAOC/status/1749855311366901787
Elon Musk (Parody),@elonmuskusaaaaa,2024-01-23T06:53:44.000Z,"Whoever says hi to lil X will receive $1,000,000.",1K,205,1.7K,51K,https://twitter.com/elonmuskusaaaaa/status/1749686837726380351
Khaleej Mag,@KhaleejMag,2024-01-22T16:20:51.000Z,94% want to vote for independents after PTI is not on the ballot paper.,294,5K,15K,249K,https://twitter.com/KhaleejMag/status/1749467171120460152
Elon Musk,@elonmusk,2024-01-23T02:16:32.000Z,Very concerning,10K,39K,121K,19M,https://twitter.com/elonmusk/status/1749617078590464322
The Economist,@TheEconomist,2024-01-22T16:37:27.000Z,"The former prime minister of Pakistan writes from prison that his party is being unfairly muzzled, in a guest essay for The Economist",3.8K,27K,50K,2.2M,https://twitter.com/TheEconomist/status/1749471345555939356
rare insults,@insultsrare,2024-01-23T01:08:38.000Z,pray for bro ,2.9K,17K,245K,45M,https://twitter.com/insultsrare/status/1749599991302177226
Habib Akram,@HabibAkram,2024-01-22T16:10:25.000Z,یہ ایک چنگچی رکشا چلانے والے کی گفتگو ہے!,256,5K,12K,181K,https://twitter.com/HabibAkram/status/1749464545041490093
PTI,@PTIofficial,2024-01-23T13:47:35.000Z,"امیدوار براۓ قومی اسمبلی NA238 حلیم عادل شیخ کا عدالتی پیشی پر پیغام: 
“میں اپنے حلقے میں ہوں، کیونکہ سینٹرل جیل بھی اسی حلقے میں شامل ہے
جہاں مجھے جیل میں رکھا گیا ہے اس لیے میں چوبیس گھنٹے حلقے میں ہوں۔ 
پانچ سال سے انتقامی کارروائیوں کاشکارہوں، ووٹ میرانہیں کپتان کاہے
میں این…",66,1.7K,4.8K,58K,https://twitter.com/PTIofficial/status/1749790986002137268
PTI,@PTIofficial,2024-01-23T18:43:34.000Z,ڈی جی خان: این اے 185 سے پی ٹی آئی امیدوار زرتاج گل، انتخابی نشان بینچ کا اپنے حلقہ انتخاب کے علاقے کوٹ چھٹہ میں اہم خطاب:,68,1.2K,4.2K,38K,https://twitter.com/PTIofficial/status/1749865471896093063
PTI,@PTIofficial,2024-01-23T11:18:55.000Z,"این اے 71 سیالکوٹ سے پاکستان تحریک انصاف کی امیدوار ریحانہ امتیاز ڈار(انتخابی نشان: بچے کا پلنگ) خواجہ آصف کے مقابلے میں کافی آگے ہیں، اس بار خواجہ آصف کی فون کال بھی کام نہیں آئے گی

اپنا انتخابی حلقہ معلوم کرنے کے لیے اپنا شناختی کارڈ 8300 پر بھیجیں، پھر اس لنک پر جائیں:…",58,595,1.9K,80K,https://twitter.com/PTIofficial/status/1749753572311638501
Crime clips,@bestwildclips,2024-01-23T09:02:30.000Z,Arrest of a criminal in america. Do you think it's too much?,1.6K,421,6.2K,1.2M,https://twitter.com/bestwildclips/status/1749719244248420665
PTI,@PTIofficial,2024-01-23T10:43:36.000Z,میرے پاکستانیو! فیصلہ کُن وقت آگیا ہے، اب ہمیں فیصلہ کرنا ہے کہ ہم غُلامی چاہتے ہیں یا آزادی؟“-#اب_غلامی_نامنظور,119,2.9K,7K,59K,https://twitter.com/PTIofficial/status/1749744685625598454
PTI,@PTIofficial,2024-01-23T11:59:23.000Z,پی ٹی آئی رہنما شوکت بسرا نے کہا میں حلفً اقرار کرتا ہوں کہ میں ایم این اے منتخب ہونے کے بعد عمران خان اور پاکستان تحریکِ انصاف کا وفادار رہوں گا#اب_غلامی_نامنظور,90,2.3K,8.4K,64K,https://twitter.com/PTIofficial/status/1749763756979347538
PTI,@PTIofficial,2024-01-23T17:50:02.000Z,"میڈیا پر تحریک انصاف کو بالکل کوریج نہیں دی جا رہی، لیکن گراؤنڈ میں تحریک انصاف نے پورا انتخابی ماحول بنایا ہوا ہے!
پکڑ دھکڑ چھاپے اس سب کے باوجود تحریک انصاف کے کنونشن جلسوں میں تبدیل ہو رہے ہیں!
- صدیق جان  #IKisComing",81,3.2K,8.5K,74K,https://twitter.com/PTIofficial/status/1749852002295701561
PTI,@PTIofficial,2024-01-23T10:31:40.000Z,پاکستان تحریک انصاف کے نامزد امیدوار سردار اسماعیل خان کو پولیس گرفتار کرنے کی ناکام کوشش کی سردار شعیب خان میاں خیل موقع پر پہنچ گئے اور پولیس سے کہا کہ اپ کس کے حکم کے اوپر کام کر رہے ہیں کیا اپ کو مولانا فضل الرحمن نے بھیجا ہے یا کسی اور نے سردار شعیب خان میاں خیل نے پولیس کو…,34,736,2K,112K,https://twitter.com/PTIofficial/status/1749741684999471253
PTI,@PTIofficial,2024-01-23T09:33:09.000Z,بانی چئیرمین عمران خان کا نوجوانوں کے لیے انتخابات کے حوالے سے اہم ترین  پیغام:,154,3.9K,10K,66K,https://twitter.com/PTIofficial/status/1749726957053313208
