Name,Handle,Timestamp,Content,Comments,Retweets,Likes,Analytics,Tweet Link
Akawa,@Akawa3GNL,2024-01-23T22:49:17.000Z,"Guess what?

There wasn't. Modding just proved that the model was pretty much flawless, being even more detailed in 2016 than it was in 2018. Rockstar straight up put EFFORT into downgrading him as much as possible, costing them precious development time.",0,0,0,0,https://twitter.com/Akawa3GNL/status/1749927309354713453
The Noble Crusader,@NobleCrusader77,2024-01-23T22:49:07.000Z,Before rockstar went downhill,0,0,0,1,https://twitter.com/NobleCrusader77/status/1749927270314127524
SummitK12,@summit_k12,2024-01-23T22:48:49.000Z,"Region 10 has some absolute ROCKSTAR teachers!!  
Congratulations to Bethany Elliott from Italy ISD for her beautiful new Summit K12 lab coat!!  #rockstareducators #science #scienceteachers #instascience",0,0,0,1,https://twitter.com/summit_k12/status/1749927192421711992
luv jae rockstar,@piojin5,2024-01-23T22:48:31.000Z,17 canciones esta enfermo,0,0,0,1,https://twitter.com/piojin5/status/1749927118253838698
sarah foran,@sarahforan1,2024-01-23T22:47:37.000Z,,0,0,0,0,https://twitter.com/sarahforan1/status/1749926890406601166
✾ 阿燕,@HotRockstar_,2024-01-23T22:47:28.000Z,mang eak?,0,0,0,6,https://twitter.com/HotRockstar_/status/1749926852007981106
Adreamy,@Adreamartist,2024-01-23T22:47:12.000Z,"The first true rockstar to ever live, at least in the 20th century to the 21st century cares by earth and everything about it",0,0,0,2,https://twitter.com/Adreamartist/status/1749926787671339020
Amli ෆ,@amlichan,2024-01-23T22:45:57.000Z,rockstar #callillust,7,63,251,608,https://twitter.com/amlichan/status/1749926469990535514
sandy in her rockstar era,@imlilixlover,2024-01-23T22:45:07.000Z,ainda bem q a lauri eu perguntadeira,0,0,0,1,https://twitter.com/imlilixlover/status/1749926260396962169
GameRoll,@GameRollGTA,2024-01-23T22:45:06.000Z,Better than whatever Rockstar did lmao,0,0,0,1,https://twitter.com/GameRollGTA/status/1749926258035601468
The Nigerian Rockstar,@JOyogoa,2024-01-23T22:44:44.000Z,Big things start small,0,0,0,12,https://twitter.com/JOyogoa/status/1749926163760226374
Moonsafe Leon,@rockstar4383,2024-01-23T22:44:14.000Z,Orange beanies to orange jump suits,0,0,0,4,https://twitter.com/rockstar4383/status/1749926037608091753
future rockstar,@11Kodji,2024-01-23T22:43:36.000Z,Ça va miser sur lui,0,0,0,3,https://twitter.com/11Kodji/status/1749925881282240982
Vice Point,@VicePointGTAX,2024-01-23T22:43:25.000Z,"I'd really love to see Rockstar change it up this time around... Give it 6 months or so get us to Summer and then do a marketing event that is totally fresh and new - and hey, maybe Spring 2025 would be awesome

Part of me wants so much more from Rockstars marketing team, but…",1,0,1,21,https://twitter.com/VicePointGTAX/status/1749925832015896645
Stephanie,@problemdiner,2024-01-23T22:43:04.000Z,Kari Lake is a rockstar!!,0,0,0,18,https://twitter.com/problemdiner/status/1749925744463986698
EYES OF TEXAS I FOLLOW BACK,@Banter59,2024-01-23T22:43:01.000Z,"--
Nature:
Looking out my window I see ALOT of deer, every year, waaaay up close.
The doe will run away from the 10 point... 8 point etc... like the world might end!
This 12 point shows up, and he is like a ROCKSTAR!So... in nature, like in real life, women want a STRONG man.",0,0,0,9,https://twitter.com/Banter59/status/1749925732187308092
lui,@hans_rockstar,2024-01-23T22:42:50.000Z,!,0,0,0,1,https://twitter.com/hans_rockstar/status/1749925685764780500
Rocky / Rockstar Scott,@stagenamescott,2024-01-23T22:42:32.000Z,"// Hey please check this out. I’ll be pausing any and all ic interaction for this time period,instead reposting and spreading around stuff like important info. Note,I’ll be more on my main so if you need smth its best to message me there",0,0,0,10,https://twitter.com/stagenamescott/status/1749925612926488965
𝐋𝐢𝐳𝐳𝐢𝐞 ∞⁸ (Taylor’s version),@Liz_snowdrop,2024-01-23T22:41:52.000Z,Rockstar,0,0,0,0,https://twitter.com/Liz_snowdrop/status/1749925444122718222
☆☆00 ROCKSTAR☆☆,@JokeTmcp2,2024-01-23T22:41:44.000Z,Les batards ,0,0,0,52,https://twitter.com/JokeTmcp2/status/1749925409553015027
Dê,@eu_denism,2024-01-23T22:41:38.000Z,"3 anos fazendo 3D pra cfx e rockstar, 1 mes de projeto pra chegar no cliente dá essa merda aqui ",0,0,0,4,https://twitter.com/eu_denism/status/1749925384806629394
Fabrício,@amplamente,2024-01-23T22:41:34.000Z,"I hope Rockstar give ""his character"" a very gruesome death in the actual game",0,0,0,5,https://twitter.com/amplamente/status/1749925367358341509
FLC,@La_Grintaa__,2024-01-23T22:41:24.000Z,C’est une rockstar le nas,0,0,0,6,https://twitter.com/La_Grintaa__/status/1749925325448827130
d,@daranoona_,2024-01-23T22:41:08.000Z,"mark lee, my rockstar ",0,0,0,2,https://twitter.com/daranoona_/status/1749925259728601344
The Nigerian Rockstar,@JOyogoa,2024-01-23T22:40:51.000Z,Getting paid,0,0,0,0,https://twitter.com/JOyogoa/status/1749925187313713653
biggerthanbangchansfeet 樂 ★,@hyunjins3rdbum,2024-01-23T22:39:03.000Z,,0,0,1,2,https://twitter.com/hyunjins3rdbum/status/1749924735721361650
Fuzzicus® Innocuous ن,@MissFuzzball,2024-01-23T22:38:59.000Z,"That's cute too. 

Look at this guy's rockstar mane!",0,0,0,2,https://twitter.com/MissFuzzball/status/1749924717857771920
Ghetto Rockstar!!,@ted_dagreat,2024-01-23T22:38:45.000Z,Another week of paper chassinnn,0,0,0,2,https://twitter.com/ted_dagreat/status/1749924658085024165
Rockstar K!,@wwhy_kam,2024-01-23T22:38:12.000Z,just texted you,0,0,1,3,https://twitter.com/wwhy_kam/status/1749924522126414106
Ellie,@cutepinkhair,2024-01-23T22:37:22.000Z,i agree and the rockstar teasers are recent proof of this,1,0,1,6,https://twitter.com/cutepinkhair/status/1749924311446479134
lavando,@lavanda422,2024-01-23T22:37:12.000Z,"fala galera, tem vídeo novo no canal, de 1 hora e 40 minutos!

falando sobre BULLY, um dos melhores jogos da ROCKSTAR!

link: https://youtu.be/lXmFi7QZ_Xw?si=Aw9H8qHh4eRNo0is…",0,3,3,19,https://twitter.com/lavanda422/status/1749924268517818730
Rockstar K!,@wwhy_kam,2024-01-23T22:36:53.000Z,"mhm, I’ve tried.. it’s just that the type of girl im looking fa, I can’t seem to find",1,0,1,8,https://twitter.com/wwhy_kam/status/1749924189874642976
Cleta!,@RockstarMarcy,2024-01-23T22:36:03.000Z,Nah I see you as cat girl,0,0,1,5,https://twitter.com/RockstarMarcy/status/1749923981942051131
DiiE,@DiieUFO,2024-01-23T22:35:41.000Z,"Los politicos su mayoria se creen rockstar con el ego a las nubes, y en verdad son nuestros empleados y hacen la pega como la mierda por sus sesgos ideologicos y hambres de poder , el pueblo es el termostato nomas. ahora que hagan lo que la gente quiere al 100% son fantasias.",1,0,0,5,https://twitter.com/DiieUFO/status/1749923888023118258
Rockstar K!,@wwhy_kam,2024-01-23T22:35:35.000Z,"shit same here, really been tryna find that one fa me, but females be so weird at times",1,0,1,12,https://twitter.com/wwhy_kam/status/1749923862215643152
Rema Fan Account,@VirtueSavage,2024-01-23T22:35:28.000Z,"Gros si la musique frr Burna Boy et Rema c'est des putains de rockstar 
Sinon la cote divoire et le Cameroun ça discute avec les immenses Etoo et Drogba",0,0,0,28,https://twitter.com/VirtueSavage/status/1749923832633106824
rockstar made,@relaxingastro,2024-01-23T22:34:56.000Z,say on god,0,0,0,9,https://twitter.com/relaxingastro/status/1749923698050564207
TrueAssassin86x,@PswitchBoxGamer,2024-01-23T22:34:42.000Z,I mean if Rockstar can do it over the R ,0,0,0,4,https://twitter.com/PswitchBoxGamer/status/1749923641096016311
YeonJun Chile ✘,@YeonJunCL,2024-01-23T22:34:37.000Z,Yeyo Rockstar es lo único que está bien archivezzn | 240123#CHOIYEONJUN #연준 #최연준 #TXT   ,0,0,0,25,https://twitter.com/YeonJunCL/status/1749923617901568196
Benit0 RTFKT,@benitopagotto,2024-01-23T22:33:49.000Z,"Both very important games, but I always prefer more subversive projects so GTA 5 and Rockstar as the best dev in the world.",0,0,0,89,https://twitter.com/benitopagotto/status/1749923419389313320
Rockstar K!,@wwhy_kam,2024-01-23T22:33:49.000Z,so you telling me no nigga has you on lock yet??????? and that one did and he fumbled??? ,1,0,1,11,https://twitter.com/wwhy_kam/status/1749923418739220983
𝕁𝕠𝕙𝕟 𝔼𝕝𝕝𝕚𝕤𝕠𝕟,@rockstar_je,2024-01-23T22:32:57.000Z,The Lobster Pot,0,0,1,25,https://twitter.com/rockstar_je/status/1749923198630551991
Felicity Harley,@TheShammuramat,2024-01-23T22:32:42.000Z,Roberta Writes - Book reviews: Don't Lose Your Head by Dave Williams and The Rockstar & the Outlaw by Kaye Lynne Booth #bookreviews #readingcommunity,0,0,0,5,https://twitter.com/TheShammuramat/status/1749923134994575463
The Nigerian Rockstar,@JOyogoa,2024-01-23T22:32:38.000Z,Seconded,0,0,0,1,https://twitter.com/JOyogoa/status/1749923119517598153
Rockstar K!,@wwhy_kam,2024-01-23T22:32:34.000Z,you must got a bf to do ts too..,1,0,1,9,https://twitter.com/wwhy_kam/status/1749923105009553450
The Nigerian Rockstar,@JOyogoa,2024-01-23T22:32:22.000Z,Nothing stops you Bro,0,0,0,0,https://twitter.com/JOyogoa/status/1749923051364299093
Caroline Armitage,@wishingdiamond,2024-01-23T22:32:08.000Z,,0,0,0,0,https://twitter.com/wishingdiamond/status/1749922995148034266
ミ★ mrs. ave bang ღ no. 1 hate to admit lover ミ★,@rockstar_ave,2024-01-23T22:31:51.000Z,,1,0,1,6,https://twitter.com/rockstar_ave/status/1749922924956364930
The Nigerian Rockstar,@JOyogoa,2024-01-23T22:31:45.000Z,"Surprising,yes ",0,0,0,1,https://twitter.com/JOyogoa/status/1749922895873065246
Rockstar K!,@wwhy_kam,2024-01-23T22:31:28.000Z,I mean I thought you was just throwing ideas in the air type shit,1,0,1,7,https://twitter.com/wwhy_kam/status/1749922826654527683
