Name,Handle,Timestamp,Content,Comments,Retweets,Likes,Analytics,Tweet Link
Marshall Frosty Faustings,@AxolotlRockstar,2024-01-23T23:24:16.000Z,Fish man played open E and pogged,0,0,0,1,https://twitter.com/AxolotlRockstar/status/1749936114692243878
THE DON ROCKSTAR ૮₍˃̵֊ ˂̵ ₎ა,@Dexignerdreams,2024-01-23T23:23:52.000Z,My country don't look like that honey LMFAOOO. And this is one of the houses we own goofy. I'm in America cause i was born here. I can move there as i please.,0,0,0,0,https://twitter.com/Dexignerdreams/status/1749936013928026550
rockstar,@luvisrage2____,2024-01-23T23:23:51.000Z,,0,0,0,0,https://twitter.com/luvisrage2____/status/1749936007196053925
sodah,@RockstarTracks,2024-01-23T23:23:49.000Z,ty! you should totally make one,1,0,1,1,https://twitter.com/RockstarTracks/status/1749936000841990251
A Rockstar Fantasy,@JTheFantasy,2024-01-23T23:23:48.000Z,THANK YOUUUU movie depressing asF idk why out of ALL movies why df would they remake this,0,0,0,0,https://twitter.com/JTheFantasy/status/1749935998555881836
Q,@peterka_quimey,2024-01-23T23:23:33.000Z,Rockstar,0,0,0,1,https://twitter.com/peterka_quimey/status/1749935932361617426
Jil Shah,@jillu_jelly,2024-01-23T23:23:13.000Z,"Some people make dark jokes but brighten your life (and guarantee you hell) but you still love them.

That's  Happy birthday Rockstar ",0,0,0,1,https://twitter.com/jillu_jelly/status/1749935848399716753
Էմիլ (cyber)punk-rockstar era,@EmilBtnl,2024-01-23T23:23:12.000Z,Thanks again for the most awesome show in my life  #NewProfilePic,0,0,0,0,https://twitter.com/EmilBtnl/status/1749935846177046628
LeozinBC,@LeoBC2215,2024-01-23T23:23:07.000Z,"Take two

""Ah mas eles são donos da rockstar"" por isso mesmo, eles n merecem a dona rockstarKKKKKKKK",0,0,0,1,https://twitter.com/LeoBC2215/status/1749935824177652082
HOLY ROCKSTAR,@bigbhabieblue,2024-01-23T23:22:52.000Z,i wanna work with a female videographer im tired of these dudes,0,0,0,0,https://twitter.com/bigbhabieblue/status/1749935760134787521
sasha∞⁸ | IN HER ROCKSTAR ERA,@hjthesweetmochi,2024-01-23T23:22:29.000Z,"Should i remind u that stay is one of the ONLY fandoms who has been nothing but supportive of itzy? When the kpop stans are there to drag y'all's girls, y'all will never see a stay in the hate train. So sit tf down, and dont try to piss us off by dragging hj and act like a victim",0,0,0,10,https://twitter.com/hjthesweetmochi/status/1749935667189280840
ROCKSTAR,@Drockk_27,2024-01-23T23:22:29.000Z,Nvm u actin like u forgot what u said ,0,0,0,1,https://twitter.com/Drockk_27/status/1749935664731197903
Ryan Storrar,@Stor_rar,2024-01-23T23:22:20.000Z,Homie acting like we are buying the game because his likeness is in it. I hope rockstar just wipes the character altogether as a big “Fuck You” now you get nothing,0,0,0,4,https://twitter.com/Stor_rar/status/1749935627788038272
sodah,@RockstarTracks,2024-01-23T23:21:58.000Z,"The official sodah topster! 
1 per artist 
(likes and rts appreciated)",1,1,4,31,https://twitter.com/RockstarTracks/status/1749935535643394414
Marshall Frosty Faustings,@AxolotlRockstar,2024-01-23T23:21:55.000Z,believing in kill on first sight >>>>,1,0,1,4,https://twitter.com/AxolotlRockstar/status/1749935521017844107
kaos,@covenstyle,2024-01-23T23:21:52.000Z,"seria muito rockstar girlfriend dessa aqui, viveria em backstage esperando ela descer do palco toda suada e me chamar de inútil porque esqueci de acender o cigarro dela",0,0,0,5,https://twitter.com/covenstyle/status/1749935510556975246
Maggie,@1bmbshell,2024-01-23T23:21:47.000Z,"YOU ARE MY ""ROCKSTAR"" ANNE HATHAWAY!!",0,0,1,26,https://twitter.com/1bmbshell/status/1749935491187908787
mine is a underrated gem,@amusicmuse,2024-01-23T23:21:39.000Z,Duhhhhhhhh. mannn a real rockstar,0,0,0,1,https://twitter.com/amusicmuse/status/1749935456836608338
arjen's // eiffel is malding over law,@jinjinjinanjing,2024-01-23T23:21:34.000Z,Truly the death of a rockstar,0,0,0,11,https://twitter.com/jinjinjinanjing/status/1749935433935634655
The Guy,@Guygies,2024-01-23T23:20:52.000Z,The kind of Agent I want now for the software industry is the kind of Agent a famous actor or rockstar gets. Somebody to sort through all the chaff and gaggle to find me top paying work that I want to do.,0,0,0,15,https://twitter.com/Guygies/status/1749935257951088865
The Nigerian Rockstar,@JOyogoa,2024-01-23T23:20:48.000Z,I dey reason my life,0,0,0,1,https://twitter.com/JOyogoa/status/1749935243748835353
The Nigerian Rockstar,@JOyogoa,2024-01-23T23:20:33.000Z,,0,0,0,2,https://twitter.com/JOyogoa/status/1749935179269804527
sodah,@RockstarTracks,2024-01-23T23:20:06.000Z,all red playboi carti,0,0,0,8,https://twitter.com/RockstarTracks/status/1749935067412250890
Tori released The HOST as nightmare fuel,@TCWestminster,2024-01-23T23:19:57.000Z,You are a rockstar!!!! Take a breath!!! Breathe in your awesomeness!,0,0,0,7,https://twitter.com/TCWestminster/status/1749935028237140397
AlfaGames,@RGta676826,2024-01-23T23:19:50.000Z,"Te aseguro que Rockstar sacará el segundo trailer MUY PRONTO y no soy un clickbate ni nada, simplemente teniendo en cuenta el año fiscal 2024 que termina en marzo de 2025 y que GTA 6 tendrá al menos 4 tráileres el segundo tiene que salir aproximadamente como mínimo en dos meses.",1,0,1,12,https://twitter.com/RGta676826/status/1749934999950778619
The Nigerian Rockstar,@JOyogoa,2024-01-23T23:19:46.000Z,"Diamonds and Promises,he makes me feel guilty as a guy listening to a gay artist",0,0,0,6,https://twitter.com/JOyogoa/status/1749934983676862551
Tigrillo Rockstar,@FelixRe92,2024-01-23T23:19:45.000Z,¿Será? ,0,0,0,4,https://twitter.com/FelixRe92/status/1749934976219623835
music & tears,@he4dphoneson,2024-01-23T23:19:43.000Z,il est la rockstar qu’il pense être,0,0,0,7,https://twitter.com/he4dphoneson/status/1749934970129572070
Marshall Frosty Faustings,@AxolotlRockstar,2024-01-23T23:18:56.000Z,,0,0,0,12,https://twitter.com/AxolotlRockstar/status/1749934771214712907
jae ˚* ❀ LOVES JISEOK,@maisonjaee,2024-01-23T23:18:50.000Z,my prettiest most radiant rockstar<3,0,0,1,8,https://twitter.com/maisonjaee/status/1749934745373344080
Why always me?,@Randomguy_6,2024-01-23T23:18:41.000Z,Rockstar lawyers Rn,0,0,0,7,https://twitter.com/Randomguy_6/status/1749934707301916941
Marshall Frosty Faustings,@AxolotlRockstar,2024-01-23T23:18:39.000Z,knuckles,0,0,0,5,https://twitter.com/AxolotlRockstar/status/1749934702281265528
Pat,@PatRunner89,2024-01-23T23:18:24.000Z,Well well well.  Happy birthday .  Party like a rockstar.,1,0,1,18,https://twitter.com/PatRunner89/status/1749934635768009036
franster,@fransteryuki,2024-01-23T23:18:06.000Z,,0,0,0,3,https://twitter.com/fransteryuki/status/1749934563915407517
